transaction_id,user_id,amount,merchant,mcc,mcc_description,timestamp,city,device_id,authorized,is_fraud
txn_438302,sr_002,40.46,JCPenney,5311,Department Stores,2025-11-24 04:38:13.191021,Phoenix,dev_sr_002_1,True,0
txn_419071,sr_003,8.67,Safeway,5411,Grocery Stores,2025-11-24 07:04:13.191021,Denver,dev_sr_003_2,True,0
txn_390819,sr_001,36.44,Lyft,4111,Local Transit,2025-11-24 07:36:13.191021,Orlando,dev_sr_001_3,True,0
txn_247158,sr_001,1000.0,Target eGift,6051,Gift Cards / Crypto,2025-11-24 08:15:13.191021,Lagos,dev_sr_001_3,True,1
txn_130990,sr_003,34.49,Cracker Barrel,5812,Eating Places,2025-11-24 08:34:13.191021,Denver,dev_sr_003_1,True,0
txn_536019,sr_001,43.03,Safeway,5411,Grocery Stores,2025-11-24 11:25:13.191021,Orlando,dev_sr_001_3,True,0
txn_863119,sr_003,51.7,Senior Clinic,8011,Doctor Offices,2025-11-24 11:49:13.191021,Boulder,dev_sr_003_1,True,0
txn_379963,sr_001,33.0,Holiday Inn,7011,Hotels,2025-11-24 12:21:13.191021,Tampa,dev_sr_001_2,True,0
txn_254535,sr_001,45.56,City Transit,4111,Local Transit,2025-11-24 12:22:13.191021,Tampa,dev_sr_001_3,True,0
txn_453401,sr_003,6.11,Chevron,5541,Gas Stations,2025-11-24 12:38:13.191021,Boulder,dev_sr_003_2,True,0
txn_685766,sr_003,11.33,Hampton Inn,7011,Hotels,2025-11-24 13:04:13.191021,Boulder,dev_sr_003_3,True,0
txn_988268,sr_003,11.34,Hampton Inn,7011,Hotels,2025-11-24 13:24:13.191021,Denver,dev_sr_003_2,True,0
txn_508926,sr_003,39.33,IHOP,5812,Eating Places,2025-11-24 13:39:13.191021,Boulder,dev_sr_003_3,True,0
txn_492052,sr_001,31.75,JCPenney,5311,Department Stores,2025-11-24 13:44:13.191021,Tampa,dev_sr_001_1,True,0
txn_633030,sr_003,41.27,Rite Aid,5912,Drug Stores/Pharmacies,2025-11-24 14:35:13.191021,Denver,dev_sr_003_1,True,0
txn_948095,sr_003,29.17,Shell,5541,Gas Stations,2025-11-24 14:39:13.191021,Denver,dev_sr_003_1,True,0
txn_974187,sr_002,1066.3,TechSupport Inc,4814,Telecom (scam common),2025-11-24 17:03:13.191021,Lagos,dev_sr_002_3,True,1
txn_734229,sr_001,56.95,Applebee's,5812,Eating Places,2025-11-24 18:51:13.191021,Tampa,dev_sr_001_1,True,0
txn_449479,sr_001,97.65,Hampton Inn,7011,Hotels,2025-11-24 19:29:13.191021,Tampa,dev_sr_001_1,True,0
txn_773662,sr_003,30.97,Hampton Inn,7011,Hotels,2025-11-25 05:02:13.191021,Denver,dev_sr_003_3,True,0
txn_517267,sr_001,46.34,Publix,5411,Grocery Stores,2025-11-25 07:50:13.191021,Tampa,dev_sr_001_2,True,0
txn_309740,sr_003,35.53,CVS Pharmacy,5912,Drug Stores/Pharmacies,2025-11-25 08:11:13.191021,Denver,dev_sr_003_3,True,0
txn_997135,sr_001,38.94,Uber,4111,Local Transit,2025-11-25 08:14:13.191021,Orlando,dev_sr_001_3,True,0
txn_171131,sr_001,32.5,Lyft,4111,Local Transit,2025-11-25 09:19:13.191021,Tampa,dev_sr_001_2,True,0
txn_107568,sr_002,71.4,Chevron,5541,Gas Stations,2025-11-25 09:35:13.191021,Phoenix,dev_sr_002_2,True,0
txn_186627,sr_003,48.54,ExxonMobil,5541,Gas Stations,2025-11-25 09:48:13.191021,Denver,dev_sr_003_2,True,0
txn_335206,sr_002,32.89,Walgreens,5912,Drug Stores/Pharmacies,2025-11-25 10:09:13.191021,Phoenix,dev_sr_002_2,True,0
txn_539507,sr_002,77.76,Urgent Care,8011,Doctor Offices,2025-11-25 10:27:13.191021,Scottsdale,dev_sr_002_3,True,0
txn_425700,sr_002,38.21,Best Western,7011,Hotels,2025-11-25 10:43:13.191021,Phoenix,dev_sr_002_3,True,0
txn_108874,sr_003,26.26,Family Medical,8011,Doctor Offices,2025-11-25 14:14:13.191021,Denver,dev_sr_003_2,True,0
txn_502642,sr_002,129.43,Cracker Barrel,5812,Eating Places,2025-11-25 14:43:13.191021,Phoenix,dev_sr_002_2,True,0
txn_789666,sr_001,56.45,Applebee's,5812,Eating Places,2025-11-25 15:47:13.191021,Orlando,dev_sr_001_3,True,0
txn_324156,sr_001,48.69,Macy's,5311,Department Stores,2025-11-25 16:29:13.191021,Tampa,dev_sr_001_3,True,0
